location_PK,DIVISION,LONG_WGS84,LAT_WGS84
1595,D51,-79.3759438465914,43.6495816886853
1596,D42,-79.2664911400733,43.8080313600041
1597,D41,-79.2499628205495,43.7222865927269
1598,D51,-79.3573574607533,43.6513401904438
1599,D23,-79.5951670242388,43.7010741880184
1600,D32,-79.4302995899502,43.7216156617503
1601,D52,-79.3806752463596,43.6557698948736
1602,D51,-79.3721579501152,43.6491340882377
1603,D13,-79.4549265898574,43.6921996722698
1604,D42,-79.3149658729304,43.7803022310658
1605,D13,-79.4497415922607,43.691958971136
1606,D22,-79.534455893695,43.63940413929
1607,D53,-79.3990555383686,43.718210983209
1608,D12,-79.4959088427467,43.708812747725
1609,D13,-79.4512904778212,43.6986946621395
1610,D11,-79.4751523207794,43.651389251231
1611,D14,-79.4177009274317,43.6516891964183
1612,D51,-79.3758612492946,43.6549468940506
1613,D33,-79.3084499710503,43.7387938353503
1614,D55,-79.3212660174624,43.6680779804649
1615,D12,-79.4976287063679,43.6673699476049
1616,D54,-79.3106406514685,43.7138139727765
1617,D23,-79.564459779685,43.7384791715276
1618,D31,-79.5017262097581,43.7450555595244
1619,D43,-79.2279200702579,43.7399773837045
1620,D14,-79.4112069346832,43.6651370094618
1621,D42,-79.3241704680324,43.7777455236864
1622,D11,-79.442999318999,43.6555983081229
1623,D55,-79.2925920537876,43.6801123350327
1624,D41,-79.2896042964075,43.759139537788
1625,D41,-79.3013205824403,43.7546337306206
1626,D31,-79.5055506233143,43.754840082548
1627,D42,-79.2597412213974,43.7852058622112
1628,D22,-79.5389878906737,43.6373668232999
1629,D14,-79.4031609347307,43.6573596990392
1630,D43,-79.1877713090898,43.7726932937325
1631,D32,-79.4429897033824,43.7847435768402
1632,D33,-79.3391759605959,43.7710256173176
1633,D42,-79.3177639705154,43.7765172245315
1634,D52,-79.386352540417,43.648000387104
1635,D11,-79.4933038092998,43.6611835485747
1636,D53,-79.4258993040054,43.7033313696203
1637,D53,-79.3933151618701,43.6862228427754
1638,D32,-79.4130707494448,43.7823088971949
1639,D42,-79.2796728218867,43.806651056805
1640,D23,-79.5863663706797,43.7325015777508
1641,D14,-79.4114504296881,43.6508315937523
1642,D14,-79.4315784228059,43.6416249884625
1643,D23,-79.5646209793616,43.7369084702646
1644,D33,-79.3657791275605,43.7663896983267
1645,D42,-79.2704857156049,43.7871246616046
1646,D53,-79.3746001876382,43.7042777562895
